C,n,P,t,a,N,LN
-9.703607214,2.944488978,15340.68136,2.635470942,2.371743487,61691.65654,4.790226432
-9.662725451,2.925250501,11721.44289,2.600200401,2.275551102,126228.3535,5.101156917
-9.653106212,2.855511022,16711.42285,2.160921844,2.321643287,30690.26766,4.487000676
-9.506412826,2.723246493,12515.03006,2.863126253,1.846693387,158080.4114,5.198878057
-9.35250501,2.583767535,13789.57916,2.595390782,1.734468938,91273.00058,4.960342328
-9.720440882,2.946893788,11565.13026,2.148096192,1.720440882,86958.10028,4.939310043
-9.698797595,2.985370741,13957.91583,2.420641283,2.477955912,55777.48816,4.746458953
-9.265931864,2.5501002,16326.65331,2.305210421,1.898797595,38694.97128,4.587654529
-9.749298597,2.999799599,12022.04409,2.419038076,1.838677355,103206.7904,5.013708272
-9.684368737,2.958917836,13957.91583,2.528056112,1.664328657,72487.28013,4.860261804
-9.330861723,2.566933868,11372.74549,2.43987976,2.5,117193.1113,5.068902084
-9.60260521,2.86993988,14186.37275,2.281162325,2.305611222,49177.5593,4.691766971
-9.867134269,3.074348697,12238.47695,2.130460922,1.566132265,74839.76446,4.874132412
-9.977755511,3.216232465,11625.2505,2.475150301,2.305611222,119057.0172,5.075754998
-9.701202405,2.980561122,11456.91383,2.33246493,1.926853707,99130.76318,4.99620845
-9.576152305,2.86753507,13849.6994,2.637074148,1.856713427,80000.9302,4.903095037
-9.554509018,2.773747495,11529.05812,2.37254509,1.858717435,117810.9691,5.071185728
-9.641082164,2.853106212,14078.15631,2.75250501,2.145290581,100305.7593,5.00132587
-9.516032064,2.756913828,13044.08818,2.835871743,1.800601202,130865.7451,5.116825982
-9.556913828,2.843486974,14595.19038,2.580961924,1.51002004,66817.94758,4.824893131
-9.487174349,2.749699399,12743.48697,2.205811623,2.363727455,62333.05801,4.794718434
-9.657915832,2.913226453,12863.72745,2.101603206,1.884769539,55371.41114,4.743285592
-9.566533066,2.790581162,14919.83968,2.356513026,1.748496994,56095.0171,4.748924285
-9.472745491,2.684769539,16242.48497,2.143286573,2.031062124,35809.61758,4.553999683
-9.657915832,2.874749499,11553.10621,2.805410822,2.293587174,180764.991,5.257114324
-9.576152305,2.874749499,15472.94589,2.771743487,1.808617234,66248.88184,4.821178553
-9.847895792,3.098396794,12995.99198,2.654709419,2.293587174,101537.4001,5.006626039
-9.768537074,3.05991984,14174.3487,2.601803607,2.429859719,65235.43357,4.814483553
-9.924849699,3.132064128,13945.89178,2.744488978,2.391783567,98256.18617,4.992359903
-9.35490982,2.646292585,15917.83567,2.576152305,1.996993988,52323.31389,4.718695242
-9.85991984,3.115230461,14907.81563,2.492785571,2.067134269,55799.4568,4.746629971
-9.299599198,2.533266533,13032.06413,2.637074148,2.329659319,103882.1346,5.016540865
-9.989779559,3.24509018,14378.75752,2.648296593,2.011022044,75242.19096,4.876461433
-9.518436874,2.761723447,15581.16232,2.56012024,2.149298597,58020.65339,4.763582615
-9.549699399,2.771342685,14270.54108,2.507214429,1.506012024,76683.38958,4.884701301
-9.821442886,3.105611222,11793.58717,2.451102204,1.940881764,104561.7503,5.019372844
-9.672344689,2.889178357,12503.00601,2.45751503,1.588176353,105816.1482,5.024551949
-9.79498998,3.069539078,12611.22244,2.7749499,2.28757515,120821.1741,5.082143052
-9.73006012,2.999799599,11505.01002,2.338877756,1.760521042,102544.7913,5.010913606
-9.977755511,3.216232465,11120.24048,2.803807615,2.273547094,206176.7178,5.314239622
-9.429458918,2.706412826,12022.04409,2.632264529,1.77254509,122489.3251,5.088098242
-9.390981964,2.646292585,15605.21042,2.778156313,2.107214429,72146.48198,4.858215159
-9.378957916,2.619839679,12779.55912,2.545691383,1.538076152,103526.3282,5.015050811
-9.696392786,2.980561122,12947.89579,2.673947896,1.688376754,104485.5088,5.019056062
-9.436673347,2.663126253,11288.57715,2.407815631,1.958917836,126537.1261,5.102217967
-9.506412826,2.773747495,16086.17234,2.856713427,1.758517034,70521.65989,4.848322526
-9.592985972,2.874749499,12430.86172,2.725250501,1.698396794,124019.9468,5.093491541
-9.253907816,2.506813627,16759.51904,2.717234469,2.351703407,56944.54283,4.755452111
-9.277955912,2.569338677,16987.97595,2.324448898,2.29759519,33358.68448,4.523208916
-9.359719439,2.61743487,12094.18838,2.45751503,1.814629259,104380.1296,5.018617832
-9.29238477,2.545290581,12046.09218,2.330861723,2.121242485,91046.55846,4.959263534
-9.758917836,2.99258517,11336.67335,2.340480962,1.574148297,118198.866,5.07261331
-9.674749499,2.973346693,16482.96593,2.760521042,1.740480962,53972.96536,4.73217628
-9.561723447,2.862725451,16470.94188,2.401402806,2.077154309,35609.05931,4.551560501
-9.374148297,2.675150301,11264.52906,2.750901804,1.556112224,155626.981,5.192084893
-9.814228457,3.026252505,13008.01603,2.215430862,1.594188377,69480.46637,4.841862725
-9.756513026,2.99498998,16975.9519,2.887174349,1.814629259,64264.90858,4.807973894
-9.427054108,2.701603206,12635.27054,2.675551102,2.023046092,110540.1567,5.043520076
-9.807014028,3.067134269,15581.16232,2.882364729,2.357715431,72546.09488,4.86061404
-9.768537074,3.009418838,12190.38076,2.229859719,1.610220441,80689.44183,4.906816711
-9.342885772,2.641482966,11565.13026,2.362925852,1.514028056,96929.13827,4.986454352
-9.828657315,3.110420842,16699.3988,2.600200401,1.75250501,43713.35995,4.640614189
-9.547294589,2.836272545,11865.73146,2.880761523,2.311623246,151713.8089,5.181025112
-9.525651303,2.824248497,15424.8497,2.342084168,2.113226453,40488.98642,4.607336905
-9.85751503,3.093587174,12647.29459,2.898396794,2.395791583,147428.3422,5.168580982
-9.972945892,3.230661323,14619.23848,2.24749499,1.830661323,42764.9369,4.631087836
-9.429458918,2.713627255,16062.12425,2.717234469,1.532064128,60259.49751,4.780025506
-9.908016032,3.129659319,14078.15631,2.364529058,1.516032064,64601.85649,4.810244999
-9.398196393,2.699198397,13488.97796,2.561723447,2.133266533,76393.45297,4.883056141
-9.347695391,2.627054108,11601.2024,2.635470942,2.115230461,129777.466,5.11319929
-9.883967936,3.103206413,15088.17635,2.414228457,1.794589178,54796.96557,4.73875651
-9.376553106,2.639078156,16543.08617,2.364529058,2.149298597,39576.22812,4.597434401
-9.60260521,2.903607214,13356.71343,2.293987976,2.379759519,54030.19529,4.732636537
-9.845490982,3.05991984,16531.06212,2.475150301,1.53006012,46575.06827,4.6681535
-9.523246493,2.819438878,12418.83768,2.87755511,1.602204409,140009.5641,5.146157704
-9.746893788,3.004609218,14318.63727,2.239478958,1.976953908,46952.34347,4.671657274
-9.862324649,3.064729459,12515.03006,2.329258517,2.391783567,83987.3336,4.924213794
-9.489579158,2.761723447,15052.10421,2.587374749,2.357715431,59718.56842,4.776109388
-9.843086172,3.062324649,12394.78958,2.800601202,1.546092184,162172.6841,5.209977705
-9.862324649,3.139278557,16795.59118,2.260320641,2.133266533,26450.41173,4.422432437
-9.612224449,2.841082164,15521.04208,2.175350701,1.786573146,38945.39658,4.590456131
-9.941683367,3.156112224,15316.63327,2.896793587,1.860721443,92217.95131,4.96481547
-9.677154309,2.963727455,12791.58317,2.580961924,2.185370741,91667.73744,4.962216512
-9.821442886,3.086372745,11012.02405,2.621042084,2.067134269,163168.0794,5.212635202
-9.763727455,3.040681363,14991.98397,2.313226453,2.095190381,41990.30192,4.623148997
-9.489579158,2.730460922,11048.09619,2.398196393,1.590180361,131120.7918,5.117671563
-9.660320641,2.93246493,14883.76754,2.252304609,2.129258517,41128.59766,4.614143902
-9.345290581,2.627054108,15304.60922,2.24749499,1.78256513,42133.56702,4.624628228
